,headline,body
0,OPEC backs extra 1.5 million bpd output cut if Russia joins in: Report,"OPEC agreed on Thursday to cut output by an extra 1.5 million barrels per day (bpd) in the second quarter of 2020 to support prices amid an outbreak of coronavirus but made it conditional on Russia joining in, two OPEC sources said. Saudi Arabia had suggested OPEC and its allies, including Russia, cut up to 1.5 million barrels per day (bpd) for the second quarter of 2020 while keeping existing cuts of 2.1 million bpd, which expire this month, in place until the end of 2020.But Riyadh, the biggest producer in the Organization of the Petroleum Exporting Countries, and other members of the group have yet to win Russian support for such a deal. So far, Moscow has indicated it would back an extension but not a deeper cut.Moscow, which has co-operated on output policy since 2016 in an informal group known as OPEC+, has in the past shown reluctance during negotiations but has signed up at the last minute.OPEC sources have signalled that preliminary talks with Russia this week in Vienna have been trickier than before.Brent oil prices rose 0.6% towards $51.50 a barrel on news of the OPEC cut. This year's slide in oil prices by about 20% has made it tough for OPEC states to balance their budgets, while Moscow has said it can cope with current prices.If OPEC+ was to decide to remove an extra 1.5 million bpd from the market, it would bring the group's overall output reduction to 3.6 million bpd or about 3.6% of global supplies.Russia's energy minister returned to Moscow for consultations on Wednesday but will be back in Vienna on Friday for the broader OPEC+ meeting. Novak made no public statements during his trip this week to Vienna.""Our expectation is that OPEC+ will deliver a credible and coherent strategy that will take more barrels that what’s priced into the market off the table,"" said Ehsan Khoman from Mitsubishi UFG, adding that stimulus by governments and central banks around the world would help reassure markets.Oil demand has been hit hard by the coronavirus outbreak. Original forecasts for growth in crude demand in 2020 have been slashed, as factory operations, travel and other economic activities around the world have been curtailed by measures aiming to stop the virus spreading."
1,Cricket in times of coronavirus: Lot at stake as IPL targets smooth start,"Cricket's slow geographical expansion is turning out to be a blessing in disguise for the cash-rich Indian Premier League (IPL) which looks set to beat the dreaded novel coronavirus threat and go ahead as scheduled. At a time when the number of recorded deaths because of the deadly outbreak across the globe is touching 3500 with a plethora of international sporting events getting cancelled, the IPL seems to be in a parallel universe where ""all is well"".And there are multiple practical reasons why the T20 extravaganza will be held as per schedule.A major reason is the small number of countries that play the game and an even smaller fraction of overseas players, who will compete in the world's richest cricket league starting March 29 in Mumbai.Till Thursday, the reported number of positive COVID-19 cases in India stood at 29, including 16 Italian tourists.However, none of the overseas recruits of eight IPL franchises have expressed any apprehensions about travelling to India.Just over 60 players from cricket nations such as Australia, England, New Zealand, South Africa and the Caribbean islands comprise the elite foreign brigade and the reported positive cases of coronavirus in all these countries is next to none.""The IOC is saying Olympics in Tokyo will be held as per schedule. IPL is a minuscule tournament in that regard. If Olympics can be held, there's no reason why IPL can't be held,"" a BCCI official told PTI on conditions of anonymity.The second and perhaps the biggest reason is broadcasters.Star Sports has bought the rights for  ₹16,347 crore (USD 2.55 billion) for a period of five years and their advertising revenues will take a huge hit if the tournament doesnt go ahead as planned. Former Delhi Daredevils CEO Hemant Dua explained the economics. ""Look Star as well as BCCI has got everything insured. I don't know if there is any specific insurance cover for cancellation due to coronavirus but there is no chance of that happening if I read the situation properly,"" Dua told PTI.He then explained that even Star has got their TV rights deal insured.""Like every insurance claim, they will not get probably 100 percent but 80 percent money will be recovered. But that's not the point. The advertisement revenues will not come which is a huge loss. Personally, I see no reason for cancellation,"" Dua said. ""Each and every match is also separately insured. So neither the BCCI nor the franchises will lose anything. But cancellation means scrapped for the year as this is the window. It can't be rescheduled,"" a senior BCCI official said.The BCCI is also depending on the guidelines given by the government with regards to dealing with the health crisis.""Every person availing international flights will be screened for coronavirus at the port of entry. That is the biggest health security measure. Obviously the BCCI will strictly adhere to any health advisory that government will issue,"" a Board official said.But since there is an advisory that social gatherings are inadvisable at this point, won't it affect the league?""You will only come to know once the ticket sales start. If the stadiums are packed, that means people are coming but if stands are largely empty, then you can presume that people are wary."" "
2,Nitin Gadkari speaks at Mint India Investment Summit 2020,"Union Minister of MSMEs Nitin Gakari shares his views on the next phase of the India story at the Mint India Investment Summit 2020. Here's what he said: ""We are the fastest growing economy in the world,"" says Nitin Gadkari.""We have taken some decisions to increase the national highway from 96,000 km to approx 2 lakh kms,"" says Union Minister Nitin Gadkari.""Everything is very good in my department,"" says Nitin Gadkari.""I am confident that after 3 years, Delhi-Mumbai will be just 12 hours,"" says Union Minister.#MintIIS | “Cruise terminal will be great business, has great employment potential for Mumbai: Union Minister @nitin_gadkari at The Mint India #InvestmentSummit pic.twitter.com/SXHtXjWQAV— Livemint (@livemint) March 5, 2020“I am confident that within 5 years 80% traffic of the country will be on national highways,"" says Union Minister.""My target is to increase the toll revenue to up to 1 lakh crore per year in the coming 5 years,"" says Union Minister.#MintIIS | Due to FASTag, our toll income which used to be  ₹68 crore per day, has become  ₹98 crore per day, says Union Minister @nitin_gadkari at the Mint India #InvestmentSummit Watch LIVE here https://t.co/2W7qAeJeeb pic.twitter.com/VrsS0jLcCT— Livemint (@livemint) March 5, 2020""We are planning to open 2000 petro pumps on national highways... The land will be from NHAI, and pumps from the oil companies,"" says Union Minister Nitin Gadkari.#MintIIS | ""We are now converting waterways on methanol and LNG... The cost will come to 50 paise... We need to reduce logistics cost,"" says Union Minister @nitin_gadkari at the Mint India #InvestmentSummit.  Watch LIVE - https://t.co/MH689OO1xD pic.twitter.com/9gyKf6bfm5— Livemint (@livemint) March 5, 2020""We will get 2000 crore income for selling gas, petrol and charging stations,"" says Union Minister Nitin Gadkari. ""Good opportunity for Indian industry to increase export and capture international market"", says Union Minister Nitin Gadkari."
3,UK court rejects Nirav Modi's bail plea for fifth time,"LONDON :A UK court on Thursday rejected for the fifth time the bail plea of fugitive diamond merchant Nirav Modi, who is fighting his extradition to India on charges over the nearly USD 2 billion Punjab National Bank (PNB) fraud and money laundering case. The 49-year-old, who has been lodged at Wandsworth Prison in south-west London since his arrest in March last year and is scheduled for an extradition trial in May, made his fifth attempt at getting bail on the basis of a change in circumstances.However, the High Court in London rejected his bail plea.Modi was arrested on March 19, 2019, on an extradition warrant executed by Scotland Yard on charges brought by the Indian government. "
4,"Coronavirus update: HSBC London employee tests positive, sparks partial evacuation","LONDON :An employee at HSBC Holdings Plc’s London office has tested positive for the coronavirus, prompting an evacuation at the firm’s research department. The individual works at HSBC’s research department, which has been deep-cleaned and sanitized, according to a person familiar with the matter. The lender’s trading floor in the Canary Wharf office has currently not been impacted, the person said.HSBC had about 235,000 employees at the end of last year, according to its annual report. The coronavirus, first identified in the Chinese city of Wuhan, has claimed 3,200 lives and infected more than 94,000 people globally."
5,HP rejects Xerox's raised takeover offer,"HP Inc on Thursday rejected Xerox Holdings Corp's raised bid of about $35 billion, saying that the offer still undervalued the personal computer maker. The U.S. printer maker had increased its offer last month by $2 to $24 per share, following rejections of its previous buyout offers by the PC maker.""Our message to HP shareholders is clear: the Xerox offer undervalues HP and disproportionately benefits Xerox shareholders at the expense of HP shareholders,"" Chip Bergh, chair of HP's board, said on Thursday. "
6,"DLF plans to raise  ₹1,000 crore via issue of NCDs","Realty major DLF on Thursday said it plans to raise  ₹1,000 crore through issue of non-convertible debentures. A meeting of the finance committee of the board of directors is scheduled to be held on 7 March to consider this proposal, the company said in a regulatory filing. DLF said it is ""desirous of offering listed redeemable secured non-convertible debentures (NCDs) aggregating  ₹1,000 crore in one or more tranches"".Last month, the company had reported a 24% increase in consolidated net profit at  ₹414.01 crore for the quarter ended December as against  ₹335.15 crore in the year-ago period.Total income in the third quarter of 2019-20 fell 36% to  ₹1,533.34 crore from  ₹2,405.89 crore in the corresponding period previous year.The company's net sales bookings rose 21% to  ₹2,156 crore during April-December in 2019-20 on better demand for its completed inventories."
7,"DoT, BSNL pensioners plan Parliament march next week","NEW DELHI :Retired employees of the Department of Telecommunications (DoT) and BSNL are planning to organise a march to Parliament next week for demanding revision in their pension and its delinking from wage revision. ""All-India BSNL DOT Pensioners Association (AIBDPA) is all set for a Parliament March on March 12, 2020. The demand put forward is pension revision of BSNL absorbed retirees from January 1, 2017, with 15 per cent fitment based on new pay scales, delinking wage revision,"" the Association said in a statement.AIBDPA said former telecom minister Manoj Sinha had assured the All Unions and Associations of BSNL (AUAB) on December 3, 2018, that an action will be initiated to revise the pension of BSNL absorbed retirees delinking wage revision.The DoT based on this assurance wrote two letters to the Department of Pension and Pensioners Welfare, but failed to give the proposal as required by the pension department, the statement said.""The second term of (Narendra) Modi government has disowned the assurance given by the former minister and has taken a negative stand on pension revision,"" AIBDPA alleged.It said current Telecom Minister Ravi Shankar Prasad, while replying to a question in Parliament, said pension revision is possible only after wage revision in BSNL and also new pay scales are required for the pension revision.""The fact remains that pension revision has no way connected to BSNL, as the entire liability of pension and pensionary benefits of BSNL absorbed retirees is to be borne by the central government as per Rule 37A of Central Civil Services (Pension) Rules, 1972,"" the statement said.The Association said it has already been recommended by the 3rd Pay Revision Committee (PRC) for the executives, and in respect of non-executives, pay scales have been approved by the BSNL management and recognised unions through bilateral talks.""Therefore, it is unjust on the part of the government to deny the pension revision even after three years,"" the statement said.The 3rd PRC has recommended a maximum of 15% fitment for the pay revision from January 1, 2017."
8,Coronavirus: Media and entertainment events hit across India,"New Delhi: As the number of confirmed COVID-19 cases rises by the day in India, several media and entertainment events have been either postponed or have their fate shrouded in ambiguity with no concrete decision on whether it is safe for such large crowds to gather. Advertising, media and entertainment festival, Goafest organized by the Advertising Club and the Advertising Agencies Association of India, has been postponed until further notice. The event was to be held in Goa from 2-4 April. The one-year celebrations of Swedish audio streaming service Spotify to be held in Mumbai later this month have been postponed. The event was to be attended by Spotify's global CEO Daniel Ek. The jury is still not out on FICCI Frames, the annual media and entertainment event organized in Mumbai by the Federation of Indian Chambers of Commerce and Industry. The annual advertising, marketing and technology event adtech too has been postponed. This was done after careful consideration and advice from partners and the advisory board regarding the event scheduled to be held on 19 and 20 March in Gurugram. Light and new media art festival, emrg2020 to be held in the national capital, has also been pushed.“The move has been taken considering the heightened global concerns on the spread of the Coronavirus posing a threat to well-being and safety of festival goers. The festival also receives many speakers from across the world and travel advisories issued across countries and organizations against being a part of large gatherings has also contributed to the decision. In such challenging times it is critical that everybody acts responsibly and does their best to prevent any escalation of the already fairly alarming scenario,"" the Goafest team said in a statement.Spotify emphasized that this decision comes as part of the company’s effort to ensure that no one’s health and safety are compromised.""It was extremely tough for us to take a call because every year we have around 6,000 attendees from all over the world. Unfortunately the best thing for us to do right now is to postpone it and that's what we will do. We will assess how the COVID-19 situation will pan out and then we will come out with new dates,"" Neha Takkar, head of marketing, adtech, said.(Saumya Tewari contributed to this story)"
9,Smartphones may make your headaches worse: AIIMS,"NEW DELHI :Smartphone users who suffer from regular headaches and migraines may be more likely to use painkillers and find less relief, say researchers at All India Institute of Medical Sciences (AIIMS). For the study, published in the jorunal Neurology: Clinical Practice, researchers have identified 400 people in India with a primary headache condition, which includes migraine, tension headache and other headache types that are not due to another condition.""While the results need to be confirmed with larger and more rigorous studies, the findings are concerning, as smartphone use is growing rapidly and has been linked to a number of symptoms, with headache being the most common,"" said study author Deepti Vibha, from AIIMS in New Delhi.According to the researchers, the study does not prove that smartphone use causes greater use of pain medication and less relief; it only shows an association.For the findings, the research team asked the people about their smartphone use and their headaches and medication use.Of the 400 people, 206 were smartphone users and 194 were non-users.People who did not use smartphones were older, had a lower education level and were more likely to have a low socioeconomic status than those who did use smartphones.The smartphone users were more likely to take pain-relieving drugs for their headaches than non-users, with 96% of smartphone users taking the drugs as compared to 81% of non-users.Smartphone users took an average of eight pills per month compared to five pills per month for non-users, the study said.Smartphone users also reported less relief from the medication, with 84% gaining moderate or complete relief of headache pain compared to 94% of non-users.However, the study did not find any difference between the two groups in how often headaches occurred, how long they lasted or how severe they were.The researchers noted that the study only examined people at one point in time; it did not follow them to look for changes over time.""The root of the problem is not yet clear. Is it a user's neck position? Or the phone's lighting? Or eye strain? Or the stress of being connected at all times? Answers will likely emerge in upcoming years and eventually guide strategies for more sustainable use of the devices,"" said Heidi Moawad, member of the American Academy of Neurology.""Features such as hands-free settings, voice activation and audio functions could potentially hold the key to helping smartphone users benefit from their phones without exacerbating their headaches,"" Moawad added."
